acteurs,date,desciption,durée,genre,nbr_eposodes,nbr_saison,nbr_votants,score,titre_original
"Anya Taylor-Joy,Chloe Pirrie,Bill Camp",2020,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",60,Drama,7,,482K,8.6,The Queen's Gambit
"Eric André,Hannibal Buress,Tom Ato",2012– ,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",11,"Comedy,Talk-Show",60,6 seasons,20K,8.6,The Eric Andre Show
"Michiel Huisman,Carla Gugino,Henry Thomas",2018,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",572,"Drama,Horror,Mystery",10,,256K,8.6,The Haunting of Hill House
"Mel Blanc,June Foray,Daws Butler",1960–1975,TV series featuring the classic Looney Tunes animated shorts.,30,"Animation,Comedy",78,3 seasons,35K,8.6,The Bugs Bunny Show
"Hyun Bin,Son Ye-jin,Seo Ji-hye",2019–2020,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,70,"Adventure,Comedy,Romance",19,2 years,33K,8.7,Crash Landing on You
"Jeff Daniels,Emily Mortimer,John Gallagher Jr.",2012–2014,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",55,Drama,25,3 seasons,119K,8.6,The Newsroom
"Steven Avery,Dolores Avery,Laura Nirider",2015–2018,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",60,"Documentary,Crime",20,2 seasons,98K,8.6,Making a Murderer
"Steve Buscemi,Kelly Macdonald,Michael Shannon",2010–2014,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,55,"Crime,Drama",56,5 seasons,194K,8.6,Boardwalk Empire
"Michaela Jaé (MJ) Rodriguez,Dominique Jackson,Indya Moore",2018–2021,"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.",60,Drama,26,3 seasons,30K,8.6,Pose
"Timothy Olyphant,Nick Searcy,Joelle Carter",2010–2015,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",44,"Action,Crime,Drama",78,6 seasons,104K,8.6,Justified
"Paul Eddington,Nigel Hawthorne,Derek Fowlds",1980–1984,"The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.",30,Comedy,22,3 seasons,15K,8.7,Yes Minister
"Alan Davies,Stephen Fry,Sandi Toksvig",2003– ,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.",30,"Comedy,Game-Show",324,20 seasons,33K,8.6,QI
"David Suchet,Hugh Fraser,Philip Jackson",1989–2013,"The cases of eccentric, but sharp, Belgian detective Hercule Poirot.",100,"Crime,Drama,Mystery",70,13 seasons,48K,8.6,Poirot
"Michael Keaton,Peter Sarsgaard,Michael Stuhlbarg",2021,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.",492,Drama,8,,63K,8.6,Dopesick
"Rowan Atkinson,Matilda Ziegler,Robin Driscoll",1990–1995,"Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.",25,"Comedy,Family",15,4 years,124K,8.6,Mr. Bean
"Amybeth McNulty,Geraldine James,R.H. Thomson",2017–2019,"The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.",60,"Drama,Family",27,3 seasons,59K,8.7,Anne with an E
"Joe Locke,Kit Connor,Yasmin Finney",2022– ,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,30,"Drama,Romance",24,3 seasons,58K,8.7,Heartstopper
"Ayumu Murase,Kaito Ishikawa,Yu Hayashi",2014–2020,"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.",24,"Animation,Comedy,Drama",89,4 seasons,28K,8.7,Haikyu!!
"Miles Teller,Matthew Goode,Dan Fogler",2022,Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,586,"Biography,Drama",10,,31K,8.7,The Offer
"Greg Weisman,Brandon Vietti,Geoff Johns",2010–2022,Teenage superheroes strive to prove themselves as members of the Justice League.,23,"Animation,Action,Adventure",98,4 seasons,43K,8.6,Young Justice
"Rowan Atkinson,Tony Robinson,Hugh Laurie",1987,"In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.",180,Comedy,6,,45K,8.6,Blackadder the Third
"Kevin Costner,Luke Grimes,Kelly Reilly",2018–2023,A ranching family in Montana faces off against others encroaching on their land.,60,"Drama,Western",53,5 seasons,173K,8.7,Yellowstone
"Leonardo Fasoli,Stefano Bises,Roberto Saviano",2014–2021,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,55,"Crime,Drama,Thriller",58,5 seasons,41K,8.7,Gomorrah
"Joel Hodgson,Michael J. Nelson,Trace Beaulieu",1988–1999,"In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.",92,"Comedy,Sci-Fi",199,11 seasons,25K,8.7,Mystery Science Theater 3000
